City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Lazaro Cardenas,MX,2021-04-25 23:47:48,17.9583,-102.2,81.41,59,100,9.57
205,Manjacaze,MZ,2021-04-25 23:47:48,-24.7117,33.8828,66.04,93,0,2.82
206,Ostrovnoy,RU,2021-04-25 23:38:14,68.0531,39.5131,32.54,97,100,21.74
207,Thinadhoo,MV,2021-04-25 23:44:47,0.5333,72.9333,82.02,65,74,3.51
208,Lebu,CL,2021-04-25 23:47:49,-37.6167,-73.65,55.31,91,1,9.91
209,Thap Than,TH,2021-04-25 23:47:49,15.4606,99.8917,81.0,99,83,2.64
210,Port Elizabeth,ZA,2021-04-25 23:44:28,-33.918,25.5701,59.0,88,0,8.05
211,Snasa,NO,2021-04-25 23:47:50,64.2457,12.3778,25.79,96,14,2.3
212,Katobu,ID,2021-04-25 23:44:10,-4.9408,122.5276,81.27,71,73,3.8
213,Ust-Maya,RU,2021-04-25 23:38:02,60.4167,134.5333,33.51,91,100,3.38
214,Lithakia,GR,2021-04-25 23:47:50,37.7167,20.8333,55.0,82,20,3.44
215,Nova Olimpia,BR,2021-04-25 23:47:51,-14.7972,-57.2881,70.03,98,99,3.67
216,Atasu,KZ,2021-04-25 23:47:50,48.6814,71.6433,44.13,69,62,4.23
217,Atuona,PF,2021-04-25 23:43:00,-9.8,-139.0333,80.13,73,56,15.37
218,Eregli,TR,2021-04-25 23:47:51,37.5133,34.0467,58.24,51,92,3.47
219,Paragominas,BR,2021-04-25 23:47:52,-2.9667,-47.4833,73.22,97,41,3.44
220,Oranjestad,AW,2021-04-25 23:46:21,12.524,-70.027,82.4,69,20,21.85
221,Bredasdorp,ZA,2021-04-25 23:47:53,-34.5322,20.0403,53.6,94,100,2.3
222,Sharjah,AE,2021-04-25 23:47:53,25.3573,55.4033,86.0,33,0,2.3
223,Hatillo,PR,2021-04-25 23:47:53,18.4863,-66.8254,80.01,83,90,5.75
224,Alta,NO,2021-04-25 23:46:45,69.9689,23.2717,30.99,86,90,4.61
225,Aklavik,CA,2021-04-25 23:38:12,68.2191,-135.0107,17.6,79,99,9.22
226,Alyangula,AU,2021-04-25 23:47:54,-13.8483,136.4192,80.6,100,75,12.01
227,Clyde River,CA,2021-04-25 23:47:54,70.4692,-68.5914,23.0,93,90,25.32
228,Hithadhoo,MV,2021-04-25 23:43:02,-0.6,73.0833,82.09,69,80,4.34
229,Campina Verde,BR,2021-04-25 23:47:55,-19.5356,-49.4864,71.85,31,77,0.69
230,Mar Del Plata,AR,2021-04-25 23:47:55,-38.0023,-57.5575,62.01,77,40,3.44
231,Khani,GE,2021-04-25 23:47:56,41.9563,42.9566,51.8,93,75,2.3
232,Kruisfontein,ZA,2021-04-25 23:43:05,-34.0033,24.7314,67.95,46,100,5.28
233,Bom Jardim,BR,2021-04-25 23:47:56,-7.7958,-35.5872,75.2,83,0,11.5
234,Ushtobe,KZ,2021-04-25 23:47:57,45.2514,77.9838,52.16,53,87,3.71
235,Liwale,TZ,2021-04-25 23:47:57,-9.7667,37.9333,67.68,99,94,2.17
236,Inongo,CD,2021-04-25 23:44:29,-1.95,18.2667,71.69,96,63,7.0
237,Kedrovyy,RU,2021-04-25 23:46:02,56.1667,91.8167,41.0,38,0,8.95
238,Batangafo,CF,2021-04-25 23:47:58,7.3008,18.2833,73.29,88,99,3.85
239,Iwaki,JP,2021-04-25 23:47:58,37.05,140.8833,52.0,39,1,1.99
240,Vagur,FO,2021-04-25 23:47:59,61.4732,-6.8119,44.58,86,100,16.71
241,Puri,IN,2021-04-25 23:47:59,19.8,85.85,80.6,94,20,6.91
242,Belyy Yar,RU,2021-04-25 23:47:59,53.6039,91.3903,30.2,80,96,4.47
243,Half Moon Bay,US,2021-04-25 23:39:17,37.4636,-122.4286,57.2,100,90,9.22
244,Sitka,US,2021-04-25 23:38:11,57.0531,-135.33,57.2,41,20,3.44
245,Ishimbay,RU,2021-04-25 23:48:00,53.4545,56.0415,35.4,79,30,8.3
246,Laguna,US,2021-04-25 23:39:51,38.421,-121.4238,60.8,55,90,14.97
247,Inhambane,MZ,2021-04-25 23:48:01,-23.865,35.3833,69.64,90,3,4.21
248,Narsaq,GL,2021-04-25 23:48:01,60.9167,-46.05,50.0,32,90,37.98
249,Seoul,KR,2021-04-25 23:39:11,37.5683,126.9778,60.8,25,40,8.05
250,Puerto Leguizamo,CO,2021-04-25 23:46:22,-0.1934,-74.7819,74.39,94,87,1.05
251,Chuy,UY,2021-04-25 23:47:57,-33.6971,-53.4616,63.1,71,95,11.63
252,Vila Do Maio,CV,2021-04-25 23:48:02,15.1333,-23.2167,71.6,73,75,17.27
253,Rantepao,ID,2021-04-25 23:48:03,-2.9701,119.8978,72.32,87,62,0.76
254,Salalah,OM,2021-04-25 23:48:03,17.0151,54.0924,82.4,74,40,8.05
255,Ayan,RU,2021-04-25 23:44:38,56.45,138.1667,30.65,73,49,3.04
256,Reyes,BO,2021-04-25 23:48:04,-14.3167,-67.3833,69.8,100,75,3.69
257,Margate,GB,2021-04-25 23:36:49,51.3813,1.3862,43.0,70,19,4.0
258,Zhanaozen,KZ,2021-04-25 23:48:04,43.3,52.8,62.04,41,10,5.64
259,Muzhi,RU,2021-04-25 23:48:05,65.3667,64.6667,33.84,96,99,9.04
260,Puerto Escondido,MX,2021-04-25 23:43:40,15.85,-97.0667,86.0,66,40,6.91
261,Souillac,MU,2021-04-25 23:48:06,-20.5167,57.5167,77.0,88,75,14.97
262,Mollendo,PE,2021-04-25 23:48:06,-17.0231,-72.0147,67.03,83,45,5.86
263,College,US,2021-04-25 23:46:10,64.8569,-147.8028,62.6,26,1,0.85
264,San Luis,AR,2021-04-25 23:48:06,-33.295,-66.3356,57.9,62,17,8.75
265,Hashtrud,IR,2021-04-25 23:48:07,37.4779,47.0508,56.5,22,22,3.06
266,Saldanha,ZA,2021-04-25 23:43:52,-33.0117,17.9442,60.8,94,81,6.91
267,Roebourne,AU,2021-04-25 23:48:07,-20.7833,117.1333,78.84,40,0,9.98
268,Stykkisholmur,IS,2021-04-25 23:48:08,65.0757,-22.7297,38.84,93,62,8.5
269,Provideniya,RU,2021-04-25 23:43:56,64.3833,-173.3,39.2,65,0,4.47
270,Rio Grande,BR,2021-04-25 23:46:49,-32.035,-52.0986,64.0,70,15,8.99
271,Juneau,US,2021-04-25 23:45:09,58.3019,-134.4197,60.8,27,20,10.36
272,Zhangye,CN,2021-04-25 23:48:09,38.9342,100.4517,41.63,23,84,8.01
273,Guerrero Negro,MX,2021-04-25 23:39:40,27.9769,-114.0611,63.7,66,99,16.82
274,Ponta Delgada,PT,2021-04-25 23:39:10,37.7333,-25.6667,59.0,82,75,10.36
275,Ilulissat,GL,2021-04-25 23:45:20,69.2167,-51.1,50.0,43,20,21.85
276,Batesville,US,2021-04-25 23:43:14,35.7698,-91.641,71.6,43,1,8.05
277,Kaeo,NZ,2021-04-25 23:48:10,-35.1,173.7833,66.99,69,73,5.99
278,Shubarkuduk,KZ,2021-04-25 23:48:10,49.1447,56.4872,47.55,87,100,8.5
279,Anamur,TR,2021-04-25 23:48:10,36.0751,32.8369,60.8,72,0,4.61
280,Andreapol,RU,2021-04-25 23:48:11,56.6513,32.2664,28.31,98,34,6.58
281,Mindelo,CV,2021-04-25 23:48:11,16.8901,-24.9804,71.6,64,20,21.85
282,Karratha,AU,2021-04-25 23:48:12,-20.7377,116.8463,78.89,42,0,9.1
283,Aloleng,PH,2021-04-25 23:48:12,16.1307,119.7824,81.3,66,7,4.07
284,Naze,JP,2021-04-25 23:38:22,28.3667,129.4833,75.2,60,75,11.5
285,Chokwe,MZ,2021-04-25 23:48:13,-24.5333,32.9833,66.25,93,0,3.38
286,Brae,GB,2021-04-25 23:38:56,60.3964,-1.353,41.0,93,100,4.61
287,Buala,SB,2021-04-25 23:44:11,-8.145,159.5921,85.73,69,23,0.2
288,Berbera,SO,2021-04-25 23:40:16,10.4396,45.0143,82.9,79,100,8.86
289,Hoa Binh,VN,2021-04-25 23:48:14,20.8133,105.3383,77.0,94,75,9.22
290,Merauke,ID,2021-04-25 23:40:13,-8.4667,140.3333,79.45,80,100,6.64
291,Silver City,US,2021-04-25 23:48:14,32.7701,-108.2803,78.8,6,1,14.97
292,Tadine,NC,2021-04-25 23:39:23,-21.55,167.8833,75.9,76,90,9.93
293,Lahij,YE,2021-04-25 23:39:36,13.1667,44.5833,76.51,72,56,4.09
