City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
146,Tura,IN,75.58,25.5198,90.2201,Hotel RIKMAN Continental
158,Victoria,HK,73.99,22.2855,114.1577,Mini Hotel Central
159,Nalut,LY,70.11,30.3333,10.85,
163,Carauari,BR,75.61,-4.8828,-66.8958,Hotel Fellip
168,Alta Floresta,BR,73.04,-9.8756,-56.0861,Floresta Amazonica Hotel
169,Canala,NC,77.0,-21.5333,165.95,Gite de Kuiné
173,Jalingo,NG,79.75,8.8833,11.3667,Debright Motel
174,Beloha,MG,71.53,-25.1667,45.05,
176,Puerto Ayora,EC,76.15,-0.7393,-90.3518,Finch Bay Galapagos Hotel
179,Iracoubo,GF,77.65,5.4802,-53.2011,Le Gite D Iracoubo
180,Sompeta,IN,79.03,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
184,Lingao,CN,78.69,19.9103,109.6859,Lingao Ditai Inn
196,Gondanglegi,ID,76.84,-7.7479,112.0132,Gg. Munasir Homestay
197,Namibe,AO,76.96,-15.1961,12.1522,Hotel Chik Chik Namibe
199,Itarema,BR,77.4,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
